date;federal_reserve_system;european_central_bank;swiss_national_bank;bank_england;reserve_bank_australia;bank_japan;bank_brazil
1970-01-01;;;;8.00;;;
1970-02-01;;;;8.00;;;
1970-03-01;;;;8.00;;;
1970-04-01;;;;7.5;;;
1970-05-01;;;;7.00;;;
1970-06-01;;;;7.00;;;
1970-07-01;;;;7.00;;;
1970-08-01;;;;7.00;;;
1970-09-01;;;;7.00;;;
1970-10-01;;;;7.00;;;
1970-11-01;;;;7.00;;;
1970-12-01;;;;7.00;;;
1971-01-01;;;;7.00;;;
1971-02-01;;;;7.00;;;
1971-03-01;;;;7.00;;;
1971-04-01;;;;7.00;;;
1971-05-01;;;;6.00;;;
1971-06-01;;;;6.00;;;
1971-07-01;;;;6.00;;;
1971-08-01;;;;6.00;;;
1971-09-01;;;;6.00;;;
1971-10-01;;;;5.00;;;
1971-11-01;;;;5.00;;;
1971-12-01;;;;5.00;;;
1972-01-01;;;;5.00;;;
1972-02-01;;;;5.00;;;
1972-03-01;;;;5.00;;;
1972-04-01;;;;5.00;;;
1972-05-01;;;;5.00;;;
1972-06-01;;;;5.00;;;
1972-07-01;;;;6.00;;;
1972-08-01;;;;6.00;;;
1972-09-01;;;;6.00;;;
1972-10-01;;;;6.00;;;
1972-11-01;;;;7.5;;;
1972-12-01;;;;7.5;;;
1973-01-01;;;;9.00;;;
1973-02-01;;;;8.75;;;
1973-03-01;;;;8.75;;;
1973-04-01;;;;8.5;;;
1973-05-01;;;;8.25;;;
1973-06-01;;;;7.75;;;
1973-07-01;;;;7.5;;;
1973-08-01;;;;11.5;;;
1973-09-01;;;;11.5;;;
1973-10-01;;;;11.5;;;
1973-11-01;;;;11.25;;;
1973-12-01;;;;13.00;;;
1974-01-01;;;;13.00;;;
1974-02-01;;;;12.75;;;
1974-03-01;;;;12.5;;;
1974-04-01;;;;12.5;;;
1974-05-01;;;;12.00;;;
1974-06-01;;;;11.75;;;
1974-07-01;;;;11.75;;;
1974-08-01;;;;11.75;;;
1974-09-01;;;;11.75;;;
1974-10-01;;;;11.5;;;
1974-11-01;;;;11.5;;;
1974-12-01;;;;11.5;;;
1975-01-01;;;;11.5;;;
1975-02-01;;;;11.00;;;
1975-03-01;;;;10.5;;;
1975-04-01;;;;10.00;;;
1975-05-01;;;;9.75;;;
1975-06-01;;;;10.00;;;
1975-07-01;;;;10.00;;;
1975-08-01;;;;11.00;;;
1975-09-01;;;;11.00;;;
1975-10-01;;;;11.00;;;
1975-11-01;;;;12.00;;;
1975-12-01;;;;11.75;;;
1976-01-01;;;;11.25;;;
1976-02-01;;;;10.5;;;
1976-03-01;;;;9.5;;;
1976-04-01;;;;9.00;;;
1976-05-01;;;;10.5;;;
1976-06-01;;;;11.5;;;
1976-07-01;;;;11.5;;;
1976-08-01;;;;11.5;;;
1976-09-01;;;;11.5;;;
1976-10-01;;;;13.00;;;
1976-11-01;;;;15.00;;;
1976-12-01;;;;14.75;;;
1977-01-01;;;;14.25;;;
1977-02-01;;;;12.25;;;
1977-03-01;;;;12.00;;;
1977-04-01;;;;9.5;;;
1977-05-01;;;;8.75;;;
1977-06-01;;;;8.00;;;
1977-07-01;;;;8.00;;;
1977-08-01;;;;8.00;;;
1977-09-01;;;;7.00;;;
1977-10-01;;;;6.00;;;
1977-11-01;;;;5.00;;;
1977-12-01;;;;7.00;;;
1978-01-01;;;;7.00;;;
1978-02-01;;;;6.5;;;
1978-03-01;;;;6.5;;;
1978-04-01;;;;6.5;;;
1978-05-01;;;;7.5;;;
1978-06-01;;;;9.00;;;
1978-07-01;;;;10.00;;;
1978-08-01;;;;10.00;;;
1978-09-01;;;;10.00;;;
1978-10-01;;;;10.00;;;
1978-11-01;;;;10.00;;;
1978-12-01;;;;12.5;;;
1979-01-01;;;;12.5;;;
1979-02-01;;;;12.5;;;
1979-03-01;;;;14.00;;;
1979-04-01;;;;13.00;;;
1979-05-01;;;;12.00;;;
1979-06-01;;;;12.00;;;
1979-07-01;;;;14.00;;;
1979-08-01;;;;14.00;;;
1979-09-01;;;;14.00;;;
1979-10-01;;;;14.00;;;
1979-11-01;;;;14.00;;;
1979-12-01;;;;17.00;;;
1980-01-01;;;;17.00;;;
1980-02-01;;;;17.00;7.92;;
1980-03-01;;;;17.00;8.2;;
1980-04-01;;;;17.00;9.25;;
1980-05-01;;;;17.00;8.98;;
1980-06-01;;;;17.00;10.74;;
1980-07-01;;;;17.00;10.34;;
1980-08-01;;;;16.00;10.91;;
1980-09-01;;;;16.00;9.58;;
1980-10-01;;;;16.00;9.81;;
1980-11-01;;;;16.00;8.92;;
1980-12-01;;;;14.00;9.83;;
1981-01-01;;;;14.00;9.43;;
1981-02-01;;;;14.00;9.62;;
1981-03-01;;;;14.00;10.35;;
1981-04-01;;;;12.00;11.11;;
1981-05-01;;;;12.00;11.71;;
1981-06-01;;;;12.00;12.07;;
1981-07-01;;;;12.00;13.04;;
1981-08-01;;;;12.00;13.41;;
1981-09-01;;;;12.69;13.04;;
1981-10-01;;;;14.00;12.91;;
1981-11-01;;;;15.12;12.07;;
1981-12-01;;;;14.56;12.77;;
1982-01-01;;;;14.38;12.78;;
1982-02-01;;;;13.88;13.25;;
1982-03-01;;;;13.62;13.41;;
1982-04-01;;;;13.25;14.85;;
1982-05-01;;;;13.12;17.05;;
1982-06-01;;;;13.12;15.4;;
1982-07-01;;;;12.62;17.44;;
1982-08-01;;;;11.62;16.49;;
1982-09-01;;;;10.62;19.93;;
1982-09-27;10.25;;;;;;
1982-10-01;10.00;;;10.12;15.89;;
1982-10-07;9.5;;;;;;
1982-11-01;;;;9.62;15.65;;
1982-11-19;9.00;;;;;;
1982-12-01;;;;10.00;14.21;;
1982-12-14;8.5;;;;;;
1983-01-01;;;;10.00;11.8;;
1983-02-01;;;;11.00;11.96;;
1983-03-01;;;;11.00;12.71;;
1983-03-31;8.62;;;;;;
1983-04-01;;;;10.56;17.54;;
1983-05-01;;;;10.06;12.72;;
1983-05-25;8.75;;;;;;
1983-06-01;;;;10.06;12.3;;
1983-06-24;9.00;;;;;;
1983-07-01;;;;9.56;11.85;;
1983-07-14;9.25;;;;;;
1983-07-20;9.43;;;;;;
1983-08-01;;;;9.56;10.85;;
1983-08-11;9.56;;;;;;
1983-08-17;9.5;;;;;;
1983-09-01;;;;9.56;10.91;;
1983-09-15;9.37;;;;;;
1983-10-01;;;;9.56;10.9;;
1983-11-01;;;;9.06;10.66;;
1983-12-01;;;;9.06;10.28;;
1984-01-01;;;;9.06;5.46;;
1984-02-01;;;;9.06;9.00;;
1984-03-01;;;;9.06;9.74;;
1984-03-29;10.5;;;;;;
1984-04-01;;;;8.56;12.37;;
1984-05-01;;;;8.56;15.06;;
1984-06-01;;;;9.06;14.02;;
1984-07-01;;;;8.88;12.41;;
1984-07-05;11.00;;;;;;
1984-07-19;11.25;;;;;;
1984-08-01;;;;12.00;12.16;;
1984-08-09;11.5;;;;;;
1984-09-01;;;;10.5;11.62;;
1984-09-20;11.25;;;;;;
1984-09-27;11.00;;;;;;
1984-10-01;;;;10.5;11.25;;
1984-10-11;10.5;;;;;;
1984-10-18;10.00;;;;;;
1984-11-01;;;;10.5;11.02;;
1984-11-08;9.5;;;;;;
1984-11-23;9.00;;;;;;
1984-12-01;;;;9.5;11.46;;
1984-12-06;8.75;;;;;;
1984-12-19;8.5;;;;;;
1984-12-24;8.12;;;;;;
1985-01-01;;;;9.5;11.89;;
1985-01-24;8.25;;;;;;
1985-02-01;;;;13.88;11.34;;
1985-02-14;8.37;;;;;;
1985-03-01;;;;13.88;11.76;;
1985-03-28;8.5;;;;;;
1985-04-01;;;;12.88;13.76;;
1985-04-25;8.25;;;;;;
1985-05-01;;;;12.38;15.21;;
1985-05-20;7.75;;;;;;
1985-06-01;;;;12.38;15.76;;
1985-07-01;;;;12.38;19.16;;
1985-07-11;7.68;;;;;;
1985-07-25;7.75;;;;;;
1985-08-01;;;;11.38;15.48;;
1985-08-21;7.81;;;;;;
1985-09-01;;;;11.38;16.5;;
1985-09-06;8.00;;;;;;
1985-10-01;;;;11.38;16.41;;
1985-11-01;;;;11.38;16.09;;
1985-12-01;;;;11.38;18.12;;
1985-12-18;7.75;;;;;;
1986-01-01;;;;11.38;19.34;;
1986-02-01;;;;12.38;18.9;;
1986-03-01;;;;12.38;18.58;;
1986-03-07;7.25;;;;;;
1986-04-01;;;;11.38;17.24;;
